id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
122088,Mimosa hassleriana Chodat,Fabaceae,species,synonym,NA,NA,NA,NA,NA,Mimosa hassleriana,check no accepted name,Mimosa hassleriana,Mimosa bifurca var. hassleriana ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bifurca desmanthoides,not found,NA,Mimosa bifurca var. desmanthoides,
126535,Mimosa bifurca var. desmantioides (Hoehne) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa desmanthoides,replaced synonym,Mimosa bifurca var. desmantioides,Mimosa bifurca var. desmanthoides,
126532,Mimosa bifurca Benth.,Fabaceae,species,accepted,NA,Arbusto,NA,Campo Limpo,Mata Atl�ntica|Pampa,Mimosa bifurca,,Mimosa bifurca,Mimosa bifurca,
126529,Mimosa berroi Burkart,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo Limpo,Pampa,Mimosa berroi,,Mimosa berroi,Mimosa berroi,
78898,Mimosa bathyrrhena Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa bathyrrhena,,Mimosa bathyrrhena,Mimosa bathyrrhena,
31072,Mimosa barretoi Hoehne,Fabaceae,species,accepted,EN,Arbusto|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa barretoi,,Mimosa barretoi,Mimosa barretoi,
603874,Mimosa barnebiana Fortunato & Tressens,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Floresta Ombr�fila Mista,Mata Atl�ntica|Pampa,Mimosa barnebiana,,Mimosa barnebiana,Mimosa barnebiana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa baptistae,not found,NA,Mimosa baptistae,
100941,Mimosa balduinii Burkart,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo Limpo,Pampa,Mimosa balduinii,,Mimosa balduinii,Mimosa balduinii,
126528,Mimosa balansae Micheli,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo,Pampa,Mimosa balansae,,Mimosa balansae,Mimosa balansae,
100940,Mimosa axillaris Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica|Pampa,Mimosa axillaris,,Mimosa axillaris,Mimosa axillaris,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa axillarioides,not found,NA,Mimosa axillarioides,
