id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
78912,Mimosa lanuginosa Glaz. ex Burkart,Fabaceae,species,accepted,NA,Subarbusto,NA,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa lanuginosa,,Mimosa lanuginosa,Mimosa lanuginosa var. lanuginosa ,
31199,Mimosa laniceps Barneby,Fabaceae,species,accepted,DD,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa laniceps,,Mimosa laniceps,Mimosa laniceps,
31198,Mimosa lanata Benth.,Fabaceae,species,accepted,DD,Subarbusto,Terr�cola,Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria,Cerrado|Mata Atl�ntica,Mimosa lanata,,Mimosa lanata,Mimosa lanata,
78911,Mimosa kuhnisteroides Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,�rea Antr�pica|Campo de Altitude,Mata Atl�ntica,Mimosa kuhnisteroides,,Mimosa kuhnisteroides,Mimosa kuhnisteroides,
78911,Mimosa kuhnisteroides Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,�rea Antr�pica|Campo de Altitude,Mata Atl�ntica,Mimosa kulnisteroides,was misspelled,Mimosa kuhnisteroides,Mimosa kuhnisteroides,
121891,Mimosa kalunga M.F. Simon & C.E. Hughes,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa kalunga,,Mimosa kalunga,Mimosa kalunga,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa jacobita,not found,NA,Mimosa jacobita ,
100960,Mimosa itatiaiensis Dusén,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa itatiaiensis,,Mimosa itatiaiensis,Mimosa itatiaiensis,
31196,Mimosa irwinii Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa irwinii,,Mimosa irwinii,Mimosa irwinii,
18818,Mimosa irrigua Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Amaz�nia|Caatinga|Cerrado,Mimosa irrigua,,Mimosa irrigua,Mimosa irrigua,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa iperoensis iperoensis,not found,NA,Mimosa iperoensis var. iperoensis ,
100958,Mimosa involucrata Benth.,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo Limpo,Mata Atl�ntica,Mimosa involucrata,,Mimosa involucrata,Mimosa involucrata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa invisa macrostachya,not found,NA,Mimosa invisa var. macrostachya ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa invisa spiciflora,not found,NA,Mimosa invisa subsp. spiciflora ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa invisa invisa,not found,NA,Mimosa invisa subsp. invisa ,
83426,Mimosa invisa Mart. ex Colla var. invisa,Fabaceae,variety,accepted,NA,Arbusto|Liana/vol�vel/trepadeira|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa invisa var. invisa,,Mimosa invisa var. invisa,Mimosa invisa subsp. invisa ,
83426,Mimosa invisa Mart. ex Colla var. invisa,Fabaceae,variety,accepted,NA,Arbusto|Liana/vol�vel/trepadeira|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa rhodostachya,replaced synonym,Mimosa invisa var. invisa,Mimosa invisa subsp. invisa,"Although the ‘flora’ package recognizes Mimosa invisa as a synonym of Mimosa invisa var. invisa, the Mimosoid checklist only acknowledges Mimosa invisa subsp. invisa."
83425,Mimosa invisa Mart. ex Colla,Fabaceae,species,accepted,NA,Arbusto|Liana/vol�vel/trepadeira,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Carrasco|Floresta Ciliar ou Galeria|Floresta Estacional Decidual,Amaz�nia|Cerrado|Mata Atl�ntica,Mimosa invisa,,Mimosa invisa,Mimosa invisa,
117079,Mimosa intricata Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo,Pampa,Mimosa intricata,,Mimosa intricata,Mimosa intricata,
31192,Mimosa interrupta Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa interrupta,,Mimosa interrupta,Mimosa interrupta,
117075,Mimosa insignis (Hassl.) Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa insignis,,Mimosa insignis,Mimosa insignis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa insidiosa major,not found,NA,Mimosa insidiosa var. major ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa insidiosa insidiosa,not found,NA,Mimosa insidiosa var. insidiosa ,
83424,Mimosa insidiosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa insidiosa,,Mimosa insidiosa,Mimosa insidiosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa incana incana,not found,NA,Mimosa incana ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa crassipes,not found,NA,Mimosa incana,
100957,Mimosa incana Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica|Pampa,Mimosa incana,,Mimosa incana,Mimosa incana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa incana var. incana,not found,NA,Mimosa incana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hypoglauca syncollandra,not found,NA,Mimosa hypoglauca var. syncollandra ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hypoglauca hypoglauca,not found,NA,Mimosa hypoglauca var. hypoglauca ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hypoglauca dawsonii,not found,NA,Mimosa hypoglauca var. dawsonii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hypoglauca allostegia,not found,NA,Mimosa hypoglauca var. allostegia ,
18813,Mimosa hypoglauca Mart.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa hypoglauca,,Mimosa hypoglauca,Mimosa hypoglauca,
31185,Mimosa hypnodes Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa hypnodes,,Mimosa hypnodes,Mimosa hypnodes,
31184,Mimosa humivagans Barneby,Fabaceae,species,accepted,DD,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa humivagans,,Mimosa humivagans,Mimosa humivagans,
18812,Mimosa hortensis Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa hortensis,,Mimosa hortensis,Mimosa hortensis,
18811,Mimosa honesta Mart.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Caatinga|Cerrado,Mimosa honesta,,Mimosa honesta,Mimosa honesta,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hirsuta,not found,NA,Mimosa hirsutissima var. hirsutissima ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hirsutissima hirsutissima,not found,NA,Mimosa hirsutissima var. hirsutissima ,
18810,Mimosa hirsutissima Mart. var. hirsutissima,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Restinga,Caatinga|Cerrado|Mata Atl�ntica,Mimosa hirsutissima var. hirsutissima,,Mimosa hirsutissima var. hirsutissima,Mimosa hirsutissima var. hirsutissima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hirsutissima grossa,not found,NA,Mimosa hirsutissima var. grossa ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hirsutissima barbigera,not found,NA,Mimosa hirsutissima var. barbigera ,
18808,Mimosa hirsutissima var. barbigera (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa hirsutissima var. barbigera,,Mimosa hirsutissima var. barbigera,Mimosa hirsutissima var. barbigera,
18808,Mimosa hirsutissima var. barbigera (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa hirsutissima var.barbigera,was misspelled,Mimosa hirsutissima var. barbigera,Mimosa hirsutissima var. barbigera,
18808,Mimosa hirsutissima var. barbigera (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa nervosa,replaced synonym,Mimosa hirsutissima var. barbigera,Mimosa hirsutissima var. barbigera,
18807,Mimosa hirsutissima Mart.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),NA,Mimosa hirsutissima,,Mimosa hirsutissima,Mimosa hirsutissima,
18806,Mimosa hirsuticaulis Harms,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa hirsuticaulis,,Mimosa hirsuticaulis,Mimosa hirsuticaulis,
31177,Mimosa hilariana Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude|Campo Limpo|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa hilariana,,Mimosa hilariana,Mimosa hilariana,
18805,Mimosa hexandra Micheli,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Caatinga|Cerrado|Pantanal,Mimosa hexandra,,Mimosa hexandra,Mimosa hexandra,
31176,Mimosa heringeri Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa heringeri,,Mimosa heringeri,Mimosa heringeri,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hebeclada,not found,NA,Mimosa hebecarpa ,
31175,Mimosa hebecarpa Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa hebecarpa,,Mimosa hebecarpa,Mimosa hebecarpa,
78909,Mimosa hatschbachii Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa hatschbachii,,Mimosa hatschbachii,Mimosa hatschbachii,
31174,Mimosa hapaloclada Malme,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa hapaloclada,,Mimosa hapaloclada,Mimosa hapaloclada,
78908,Mimosa gymnas Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude|Campo rupestre|Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa gymnas,,Mimosa gymnas,Mimosa gymnas,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae spruceana,not found,NA,Mimosa guilandinae var. spruceana ,
83423,Mimosa guilandinae var. spruceana (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Liana/vol�vel/trepadeira,Terr�cola,Floresta de Terra Firme,Amaz�nia,Mimosa spruceana,replaced synonym,Mimosa guilandinae var. spruceana,Mimosa guilandinae var. spruceana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae guilandinae,not found,NA,Mimosa guilandinae var. guilandinae ,
23086,Mimosa guilandinae (DC.) Barneby,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa guilandinae,,Mimosa guilandinae,Mimosa guilandinae var. guilandinae ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae extensissima,not found,NA,Mimosa guilandinae var. extensissima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae duckei,not found,NA,Mimosa guilandinae var. duckei ,
18804,Mimosa guaranitica Chodat & Hassl.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa guaranitica,,Mimosa guaranitica,Mimosa guaranitica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guaratinica,not found,NA,Mimosa guaranitica,
604068,Mimosa granitica (Barneby) L.M. Borges,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa granitica,,Mimosa granitica,Mimosa granitica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa granitica,not found,NA,Mimosa granitica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis stipitata,not found,NA,Mimosa gracilis var. stipitata ,
104129,Mimosa gracilis var. stipitata Barneby,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa gracilis var. stipitata,,Mimosa gracilis var. stipitata,Mimosa gracilis var. stipitata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis longipes,not found,NA,Mimosa gracilis var. longipes ,
112011,Mimosa gracilis var. longipes Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa gracilis var. longipes,,Mimosa gracilis var. longipes,Mimosa gracilis var. longipes,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis leiocarpa,not found,NA,Mimosa gracilis var. leiocarpa ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis invisiformis,not found,NA,Mimosa gracilis var. invisiformis ,
112003,Mimosa gracilis var. invisiformis Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa gracilis var. invisiformis,,Mimosa gracilis var. invisiformis,Mimosa gracilis var. invisiformis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis filiformis,not found,NA,Mimosa gracilis var. filiformis ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis ssp.filiformis,not found,NA,Mimosa gracilis var. filiformis ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa filiformis leptocaulis,not found,NA,Mimosa gracilis var. filiformis,"not sure if it is ""gracillis var. filiformis"" or ""gracillis var. leiocarpa"""
112010,Mimosa gracilis var. filiformis (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa filiformis,replaced synonym,Mimosa gracilis var. filiformis,Mimosa gracilis var. filiformis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis brevissima,not found,NA,Mimosa gracilis var. brevissima ,
112007,Mimosa gracilis var. brevissima Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa gracilis var. brevissima,,Mimosa gracilis var. brevissima,Mimosa gracilis var. brevissima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis gracilis,not found,NA,Mimosa gracilis subsp. gracilis ,
112006,Mimosa gracilis Benth. var. gracilis,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa gracilis var. gracilis,,Mimosa gracilis var. gracilis,Mimosa gracilis subsp. gracilis ,
112006,Mimosa gracilis Benth. var. gracilis,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa gracilis var.gracilis,was misspelled,Mimosa gracilis var. gracilis,Mimosa gracilis subsp. gracilis ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gracilis capillipes,not found,NA,Mimosa gracilis subsp. capillipes ,
104128,Mimosa gracilis var. capillipes (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa gracilis var. capillipes,,Mimosa gracilis var. capillipes,Mimosa gracilis subsp. capillipes ,This is an example of “var” according to flora but “subsp.” according to Simon
104128,Mimosa gracilis var. capillipes (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo Limpo|Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa gracilis var.capillipes,was misspelled,Mimosa gracilis var. capillipes,Mimosa gracilis subsp. capillipes ,
31169,Mimosa gracilis Benth.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegeta��o Sobre Afloramentos Rochosos,Cerrado,Mimosa gracilis,,Mimosa gracilis,Mimosa gracilis,
78907,Mimosa glycyrrhizoides Barneby,Fabaceae,species,accepted,DD,Arbusto,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica|Pampa,Mimosa glycyrrhizoides,,Mimosa glycyrrhizoides,Mimosa glycyrrhizoides,
117076,Mimosa glutinosa Malme,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado|Pantanal,Mimosa glutinosa,,Mimosa glutinosa,Mimosa glutinosa,
18803,Mimosa glaucula Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa glaucula,,Mimosa glaucula,Mimosa glaucula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa glanduliseta,not found,NA,Mimosa glanduliseta,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gemmulata adamantina,not found,NA,Mimosa gemmulata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gemmulata cristallina,not found,NA,Mimosa gemmulata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gemmulata gemmulata,not found,NA,Mimosa gemmulata,
18800,Mimosa gemmulata Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa gemmulata,,Mimosa gemmulata,Mimosa gemmulata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gemmulata occidentalis,not found,NA,Mimosa gemmulata,
18800,Mimosa gemmulata Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa gemmulata var. cristallina,replaced synonym,Mimosa gemmulata,Mimosa gemmulata,
31163,Mimosa gatesiae Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa gatesiae,,Mimosa gatesiae,Mimosa gatesiae,
31162,Mimosa gardneri Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa gardneri,,Mimosa gardneri,Mimosa gardneri,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa furfuracea catharinensis,not found,NA,Mimosa furfuracea,
31161,Mimosa furfuracea Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Cerrado|Mata Atl�ntica,Mimosa furfuracea,,Mimosa furfuracea,Mimosa furfuracea,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa furfuracea paranensis,not found,NA,Mimosa furfuracea,
104123,Mimosa foliolosa var. viscidula Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa foliolosa var. viscidula,,Mimosa foliolosa var. viscidula,Mimosa foliolosa var. viscidula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa viscidula,not found,NA,Mimosa foliolosa var. viscidula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa vernicosa,not found,NA,Mimosa foliolosa var. vernicosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa vernicosa,not found,NA,Mimosa foliolosa var. vernicosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa rigens,not found,NA,Mimosa foliolosa var. rigens,
112002,Mimosa foliolosa var. rigens Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. rigens,,Mimosa foliolosa var. rigens,Mimosa foliolosa var. rigens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa pubescens,not found,NA,Mimosa foliolosa var. pubescens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa peregrina,not found,NA,Mimosa foliolosa var. peregrina,
111998,Mimosa foliolosa var. peregrina Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. peregrina,,Mimosa foliolosa var. peregrina,Mimosa foliolosa var. peregrina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa paranani,not found,NA,Mimosa foliolosa var. paranani,
111999,Mimosa foliolosa var. paranani Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. paranani,,Mimosa foliolosa var. paranani,Mimosa foliolosa var. paranani,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa pachycarpa,not found,NA,Mimosa foliolosa var. pachycarpa,
104122,Mimosa foliolosa var. pachycarpa (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. pachycarpa,,Mimosa foliolosa var. pachycarpa,Mimosa foliolosa var. pachycarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa multipinna,not found,NA,Mimosa foliolosa var. multipinna,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa gravida,not found,NA,Mimosa foliolosa var. gravida,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa grandibractea,not found,NA,Mimosa foliolosa var. grandibracteata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa franciscana,not found,NA,Mimosa foliolosa var. franciscana,
104119,Mimosa foliolosa var. franciscana Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. franciscana,,Mimosa foliolosa var. franciscana,Mimosa foliolosa var. franciscana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa foederalis,not found,NA,Mimosa foliolosa var. foederalis,
111995,Mimosa foliolosa var. foederalis Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. foederalis,,Mimosa foliolosa var. foederalis,Mimosa foliolosa var. foederalis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa cercadoensis,not found,NA,Mimosa foliolosa var. cercadoensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa brevipinna,not found,NA,Mimosa foliolosa var. brevipinna,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa antana,not found,NA,Mimosa foliolosa var. antana,
112000,Mimosa foliolosa var. antana Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. antana,,Mimosa foliolosa var. antana,Mimosa foliolosa var. antana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa foliolosa,not found,NA,Mimosa foliolosa subsp. foliolosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa foliolosa brevibractea,not found,NA,Mimosa foliolosa subsp. brevibractea,
104118,Mimosa foliolosa var. brevibractea Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa foliolosa var. brevibractea,,Mimosa foliolosa var. brevibractea,Mimosa foliolosa subsp. brevibractea,
18798,Mimosa foliolosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa foliolosa,,Mimosa foliolosa,Mimosa foliolosa,
31156,Mimosa flocculosa Burkart,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Floresta Estacional Semidecidual|Floresta Ombr�fila Mista,Cerrado|Mata Atl�ntica,Mimosa flocculosa,,Mimosa flocculosa,Mimosa flocculosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa floccusa,not found,NA,Mimosa flocculosa,
31155,Mimosa flavocaesia Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa flavocaesia,,Mimosa flavocaesia,Mimosa flavocaesia,
100954,Mimosa flagellaris Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo,Mata Atl�ntica|Pampa,Mimosa flagellaris,,Mimosa flagellaris,Mimosa flagellaris,
78906,Mimosa flabellifolia Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo Limpo,Cerrado,Mimosa flabellifolia,,Mimosa flabellifolia,Mimosa flabellifolia,
100953,Mimosa filipetiola Burkart,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa filipetiola,,Mimosa filipetiola,Mimosa filipetiola,
83417,Mimosa filipes Mart.,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa filipes,,Mimosa filipes,Mimosa filipes,
602914,Mimosa fiebrigii Hassl.,Fabaceae,species,accepted,NA,NA,NA,Cerrado (lato sensu),Cerrado,Mimosa fiebrigii,,Mimosa fiebrigii,Mimosa fiebrigii,
135230,Mimosa fernandez-casassi Barneby &Fortunato,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa fernandez-casasii,was misspelled,Mimosa fernandez-casassi,Mimosa fernandez-casasii,
31152,Mimosa falcipinna Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa falcipinna,,Mimosa falcipinna,Mimosa falcipinna,
100952,Mimosa fachinalensis Burkart,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo de Altitude|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa fachinalensis,,Mimosa fachinalensis,Mimosa fachinalensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa extensa extensa,not found,NA,Mimosa extensa var. extensa,
18795,Mimosa extensa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa extensa,,Mimosa extensa,Mimosa extensa,
